0+0i,0.048237206721458-0.0196598280189694i
0.01+0i,0.0522719627908486-0.0151756442842346i
0.02+0i,0.0495072310789466-0.0261131986454876i
0.03+0i,0.0490696119011973-0.0129794486557639i
0.04+0i,0.051138678072847-0.0258442669716378i
0.05+0i,0.0468436734584714-0.0158158877164064i
0.06+0i,0.0506697983846701-0.016564251069938i
0.07+0i,0.0463680345977149-0.0258983581008142i
0.08+0i,0.047330300166841-0.0165465585313057i
0.09+0i,0.0501911453798771-0.0285061044431436i
0.1+0i,0.0486776854777736-0.0145973251449519i
0.11+0i,0.0520827836704894-0.0201059117131982i
0.12+0i,0.0486806192643109-0.0229929681216465i
0.13+0i,0.0502207295303162-0.0181930448255049i
0.14+0i,0.0464641035239031-0.0251505992108513i
0.15+0i,0.0474711301495393-0.0138424018126707i
0.16+0i,0.0515713018649719-0.0263528467412416i
0.17+0i,0.0475339458745541-0.018818508825827i
0.18+0i,0.0515209481427017-0.0193740319711616i
0.19+0i,0.0498132430564358-0.0220255919137716i
0.2+0i,0.0499488917222065-0.0133972640321283i
0.21+0i,0.0490205435990129-0.0262817851121332i
0.22+0i,0.0475565113622533-0.0150632313330716i
0.23+0i,0.0523827836704893-0.0239925082734027i
0.24+0i,0.049526329379509-0.0202792709146515i
0.25+0i,0.0503355379460768-0.0160830330397432i
0.26+0i,0.0483652532819348-0.0263820462047515i
0.27+0i,0.0503809431796755-0.0138021262515862i
0.28+0i,0.0525105131142438-0.0249871071798351i
0.29+0i,0.0472877469272011-0.0140172934783366i
0.3+0i,0.0513475599573372-0.0165771065084734i
0.31+0i,0.0484263293795089-0.0243311150591061i
0.32+0i,0.0487816339124578-0.0165320522304318i
0.33+0i,0.0515037249577534-0.02757393773255i
0.34+0i,0.0511706142771916-0.0133673403752895i
0.35+0i,0.0525567441905095-0.0226885919676313i
0.36+0i,0.0477398548710714-0.0203380494398808i
0.37+0i,0.0506077267097439-0.0149375538090834i
0.38+0i,0.0488865108999556-0.0259983902297275i
0.39+0i,0.0485243736355706-0.0156259567504417i
0.4+0i,0.0501195945403246-0.0280772495747531i
0.41+0i,0.0467268695852519-0.018096730246739i
0.42+0i,0.052313299518744-0.0191571156115303i
0.43+0i,0.0506774791375405-0.0206984348046732i
0.44+0i,0.0503670441090826-0.0126830600799371i
0.45+0i,0.0503314300681125-0.0267604122409876i
0.46+0i,0.0482739165540393-0.0122414192934369i
0.47+0i,0.0503963588257177-0.0237093686089294i
0.48+0i,0.0476115209637483-0.0221787550423039i
0.49+0i,0.0501327515415765-0.0143678979419061i
0.5+0i,0.0475755532005079-0.0243169111069137i
0.51+0i,0.0482940295027487-0.014906504727609i
0.52+0i,0.050977113143118-0.0258882890667789i
0.53+0i,0.0505619510050868-0.0161810697111976i
0.54+0i,0.053922483751916-0.0217722800715692i
0.55+0i,0.0478925848132636-0.0243999947472825i
0.56+0i,0.0496979458085202-0.0155096448543792i
0.57+0i,0.0490370028771121-0.0287918913638016i
0.58+0i,0.0471887249698-0.014718004067879i
0.59+0i,0.0525681938671142-0.0248762528396486i
0.6+0i,0.0489926412755711-0.0223544177982522i
0.61+0i,0.0504192260500142-0.0174712662464164i
0.62+0i,0.0483474231375298-0.0244436290475238i
0.63+0i,0.0484696119011973-0.0121794486557637i
0.64+0i,0.0515816017835449-0.0253779872044885i
0.65+0i,0.0488293877137007-0.0154793476185109i
0.66+0i,0.0502364640030028-0.0196098188918187i
0.67+0i,0.0475295756322529-0.0240670493618008i
0.68+0i,0.0520881943294121-0.0147793476185097i
0.69+0i,0.0503684819999257-0.0260604122409878i
0.7+0i,0.0483874420456016-0.0142789617673277i
0.71+0i,0.0513858053991334-0.0245903506658662i
0.72+0i,0.0475816537692178-0.0202478895102102i
0.73+0i,0.0516399164220991-0.0192577522040128i
0.74+0i,0.0490306192643109-0.0277897834199304i
0.75+0i,0.0507963091620517-0.0143315295594421i
0.76+0i,0.051239282536415-0.0286761852629414i
0.77+0i,0.0468040023609554-0.0192837274261663i
0.78+0i,0.0487975034950289-0.0222549901329078i
0.79+0i,0.0457708062341747-0.0245984912669808i
0.8+0i,0.0513788204677648-0.0151516425081513i
