Time,Va,Vb,Vc ,Ia,Ib,Ic,Va_cap,Vb_cap,Vc_cap,Ia_flt,Ib_flt,Ic_flt
0,-0.000912,-0.86551,0.86642,-49.527,49.593,-0.066163,-0.44331,0.1721,0.2712,0,0,0
6.25E-09,-0.00090964,-0.86551,0.86642,-49.527,49.593,-0.066027,-0.44331,0.1721,0.2712,0,0,0
6.25E-09,-0.00090964,-0.86551,0.86642,-49.527,49.593,-0.066027,-0.44331,0.1721,0.2712,0,0,0
8.36E-07,-0.00059741,-0.86567,0.86626,-49.536,49.585,-0.048048,-0.44329,0.17197,0.27132,0,0,0
1.66E-06,-0.00028531,-0.86582,0.86611,-49.545,49.576,-0.030119,-0.44327,0.17184,0.27143,0,0,0
2.42E-06,3.77E-07,-0.86597,0.86597,-49.554,49.567,-0.013723,-0.44325,0.17173,0.27153,0,0,0
2.42E-06,3.77E-07,-0.86597,0.86597,-49.554,49.567,-0.013723,-0.44325,0.17173,0.27153,0,0,0
4.25E-06,0.00068811,-0.86631,0.86562,-49.574,49.548,0.025714,-0.44321,0.17144,0.27177,0,0,0
7.04E-06,0.0017386,-0.86683,0.8651,-49.604,49.518,0.085903,-0.44315,0.17101,0.27215,0,0,0
1.19E-05,0.0035817,-0.86775,0.86417,-49.656,49.465,0.19145,-0.44304,0.17025,0.2728,0,0,0
2.30E-05,0.0077556,-0.86982,0.86206,-49.775,49.345,0.43044,-0.44279,0.16852,0.27427,0,0,0
6.84E-05,0.024877,-0.87814,0.85326,-50.254,48.843,1.4108,-0.44168,0.1614,0.28028,0,0,0
9.84E-05,0.036181,-0.88349,0.84731,-50.561,48.503,2.0581,-0.44088,0.15668,0.2842,0,0,0
0.000128425,0.04748,-0.88873,0.84125,-50.863,48.158,2.7051,-0.44002,0.15194,0.28808,0,0,0
0.000158425,0.058773,-0.89386,0.83508,-51.158,47.806,3.3517,-0.4391,0.14717,0.29193,0,0,0
0.000188425,0.070058,-0.89887,0.82881,-51.446,47.448,3.998,-0.43813,0.14239,0.29574,0,0,0
0.000288425,0.1076,-0.91474,0.80714,-52.359,46.211,6.1481,-0.43448,0.12632,0.30816,0,0,0
0.000388425,0.145,-0.92931,0.78432,-53.198,44.908,8.2896,-0.43021,0.11007,0.32014,0,0,0
0.000488425,0.18218,-0.94256,0.76038,-53.961,43.541,10.42,-0.42533,0.093665,0.33167,0,0,0
0.000588425,0.21911,-0.95448,0.73537,-54.648,42.113,12.535,-0.41985,0.077126,0.34272,0,0,0
0.000688425,0.25573,-0.96503,0.70931,-55.256,40.624,14.632,-0.41377,0.060477,0.35329,0,0,0
0.000788425,0.29198,-0.97422,0.68224,-55.787,39.077,16.71,-0.4071,0.043743,0.36336,0,0,0
0.000888425,0.32782,-0.98202,0.6542,-56.238,37.475,18.763,-0.39985,0.026946,0.37291,0,0,0
0.000988425,0.36319,-0.98842,0.62523,-56.61,35.82,20.79,-0.39204,0.010111,0.38193,0,0,0
0.001088425,0.39804,-0.99342,0.59538,-56.9,34.113,22.788,-0.38367,-0.0067378,0.3904,0,0,0
0.001188425,0.43233,-0.99701,0.56468,-57.111,32.358,24.753,-0.37475,-0.023577,0.39832,0,0,0
0.001288425,0.46601,-0.99918,0.53317,-57.24,30.556,26.683,-0.3653,-0.040383,0.40568,0,0,0
0.001388425,0.49902,-0.99993,0.50091,-57.287,28.711,28.576,-0.35533,-0.057132,0.41246,0,0,0
0.001488425,0.53133,-0.99926,0.46794,-57.254,26.826,30.428,-0.34485,-0.073799,0.41865,0,0,0
0.001588425,0.56288,-0.99717,0.4343,-57.139,24.901,32.237,-0.33388,-0.090361,0.42424,0,0,0
0.001688425,0.59363,-0.99367,0.40004,-56.942,22.942,34,-0.32244,-0.10679,0.42924,0,0,0
0.001788425,0.62353,-0.98875,0.36522,-56.665,20.949,35.716,-0.31054,-0.12308,0.43362,0,0,0
0.001888425,0.65255,-0.98242,0.32987,-56.308,18.927,37.38,-0.2982,-0.13918,0.43739,0,0,0
0.001988425,0.68064,-0.9747,0.29406,-55.87,16.878,38.992,-0.28544,-0.15509,0.44053,0,0,0
0.002088425,0.70777,-0.9656,0.25783,-55.353,14.804,40.548,-0.27227,-0.17078,0.44305,0,0,0
0.002188425,0.73389,-0.95512,0.22123,-54.757,12.71,42.047,-0.25871,-0.18623,0.44493,0,0,0
0.002288425,0.75897,-0.94329,0.18432,-54.084,10.597,43.487,-0.24478,-0.20141,0.44619,0,0,0
0.002388425,0.78296,-0.93011,0.14715,-53.333,8.469,44.864,-0.23051,-0.2163,0.44681,0,0,0
0.002488425,0.80585,-0.91562,0.10977,-52.507,6.3288,46.178,-0.21591,-0.23089,0.4468,0,0,0
0.002588425,0.82759,-0.89982,0.072231,-51.607,4.1795,47.427,-0.201,-0.24514,0.44614,0,0,0
0.002688425,0.84815,-0.88274,0.03459,-50.632,2.0242,48.608,-0.18581,-0.25905,0.44486,0,0,0
0.002780205,0.86597,-0.86597,-3.77E-07,-49.675,0.043305,49.632,-0.17163,-0.2715,0.44312,0,0,0
0.002780205,0.86597,-0.86597,-3.77E-07,-49.675,0.043305,49.632,-0.17163,-0.2715,0.44312,0,0,0
0.002880205,0.8842,-0.84651,-0.037688,-48.564,-2.1151,50.679,-0.15595,-0.28468,0.44063,0,0,0
